;sent_1;sent_2;answer
0;По словам Нилова, таким образом владельцы машин с иностранными номерами, которые нарушают ПДД в зоне действия видеокамер, будут наравне с другими нарушителями получать по почте письма о штрафах.;"""Таким образом, эта лазейка будет закрыта, а владельцы машин с иностранными номерами, которые нарушают ПДД в зоне действия видеокамер, будут наравне с другими нарушителями получать по почте соответствующие письма"", — подчеркнул руководитель ГИБДД.";0.0
3;Как сообщали интернет-СМИ со ссылкой на министра обороны страны Абделя Фаттаха ас-Сисси, армия страны сместила с поста египетского президента после безуспешных попыток убедить его подать в отставку добровольно.;По словам неназванного высокопоставленного представителя командования вооруженных сил Египта, Мурси задержан в связи с возможным предъявлением ему обвинений.;0.0
4;"Исламистское движение ""Братья-мусульмане"", руководители которого были арестованы после отстранения от власти президента Мухаммеда Мурси, не признает ""военный режим"", но от вооруженной борьбы с ним отказывается, заявил один из лидеров исламистов Мухаммед Бальтаги.";"Исламистское движение ""Братья-мусульмане"", лидеры которого были арестованы после отстранения от власти президента Мухаммеда Мурси, не признает ""военный режим"", но отказывается от вооруженной борьбы с ним, сообщает агентство  Рейтер  со ссылкой на заявление одного из руководителей движения Мухаммеда Бальтаги.";0.0
5;Генеральный директор группы Surveillance Тимоти Янг отрицает, что микрофон принадлежит компании.;Как ранее заявил глава МИД Эквадора Рикардо Патиньо, микрофон принадлежит одной из британских компаний, занимающихся слежкой и наблюдением — Surveillance Group Limited.;0.0
6;По данным СМИ, обыски проходят в коммерческом филиале МРЭО-4.;В пресс-службе ведомства не уточнили, где именно проходят обыски.;0.0
8;Ранее главный инженер ситуационного центра московского метро Константин Пахомов сообщил, что руководство московского метро рассматривает возможность временного закрытия пересадочных узлов в случае скопления пассажиров на них  в часы пик.;Руководство московского метрополитена не рассматривает возможность закрытия для пассажиров пересадочных станций и переходов в часы пик, сообщает в четверг информационный центр столичного департамента транспорта и развития дорожно-транспортной инфраструктуры.;0.0
9;Такая оценка содержится в подготовленном министерством проекте основных направлений бюджетной политики на 2014-2016 годы.;В 2015 году доходы бюджета планируются на уровне 14,780 триллиона рублей, расходы — 15,236 триллиона рублей.;0.0
10;"""Опасения по поводу снижения безработицы в США до 7,5% расшатали настроения инвесторов"", — говорится в комментарии эксперта.";Аналитики прогнозировали , что российский рынок акций на открытии торгов в четверг продемонстрирует положительную динамику на фоне увеличения цен на нефть.;0.0
11;Напомним, французский актер, ушедший из жизни в 1983-м году, похоронен здесь же, в родной деревне.;Луи де Фюнес родился во Франции в 1914 году.;0.0
12;Напомним, в среду вечером истек ультиматум, предъявленный президенту Мурси армией Египта.;В четверг представители военного командования египетской армии официально подтвердили, что Мурси находится под арестом.;0.0
13;"Напомним, временный президент Египта Адли Мансур пригласил исламское движение ""Братья-мусульмане"", лидеры которого оказались в тюрьме после отстранения от власти президента Мухаммеда Мурси, участвовать в ""строительстве будущего"" страны.";"Читайте подробнее        Как в Египте сместили президента      Сообщение об аресте представителей движения ""Братья-мусульмане"" появилось после того, как 3 июля армия Египта отстранила президента-исламиста Мохаммеда Мурси от власти, временно приостановила действие конституции, а также поручила главе Конституционного суда страны Адли Мансуру на переходный период выполнять обязанности главы государства.";0.0
14;Заболевшие дети находятся в городской больнице №1 имени Семашко и в детской больнице №2.;На амбулаторном лечении и наблюдении находится шесть детей, проживающих в микрорайоне Темерник.;0.0
15;В ближайшее время будут сформированы временное технократическое правительство и комиссия по подготовке досрочных парламентских и президентских выборов.;По последним данным, в столкновениях противников и сторонников Мурси погибли 32 человека.;0.0
16;Согласно заявлению военных, в стране будут проведены досрочные президентские выборы.;Временный глава государства уже в четверг будет приведен к присяге.;0.0
17;Также изъяты образцы топлива, которым был заправлен Ми-8 перед вылетом, для определения его качества.;Также изъяты образцы топлива, которым был заправлен Ми-8 перед вылетом, для определения его качества.;1.0
